station1,station2,line,time
59,12,1,99
12,5,1,126
5,100,1,73
100,21,1,65
21,47,1,71
47,124,1,64
124,116,1,126
116,78,1,76
78,92,1,49
92,60,1,54
60,44,1,57
44,102,1,315
102,138,1,63
138,128,1,73
128,26,1,60
26,129,1,60
129,3,1,81
3,77,1,68
77,52,1,94
52,29,1,96
29,84,1,87
84,105,1,81
105,46,1,108
46,106,1,119
106,123,1,60
123,127,1,83
127,11,1,60
11,115,1,82
115,48,1,101
105,85,10,121
85,16,10,156
16,72,10,151
72,66,10,74
66,53,10,114
126,25,11,60
25,125,11,135
125,28,11,73
28,19,11,42
87,107,2,95
107,128,2,71
128,89,2,82
89,122,2,107
122,81,2,96
81,104,2,69
104,40,2,87
40,29,2,60
29,7,2,124
7,112,2,77
112,65,2,89
65,133,2,101
133,4,2,93
4,114,2,120
114,53,2,103
53,91,2,76
91,9,2,85
137,86,3,65
86,76,3,103
76,67,3,68
67,93,3,60
93,118,3,60
118,140,3,60
140,44,3,68
44,95,3,105
95,87,3,80
87,35,3,89
35,70,3,67
70,26,3,68
26,89,3,60
89,34,3,60
34,49,3,122
49,69,3,59
69,141,3,90
141,90,3,90
90,130,3,106
130,80,3,81
80,82,3,71
82,131,3,97
131,24,3,113
24,103,3,135
103,126,3,87
126,134,4,82
134,73,4,108
73,75,4,194
75,56,4,108
56,1,4,104
1,63,4,92
63,132,4,103
132,51,4,78
51,89,4,78
89,129,4,62
129,62,4,82
62,10,4,78
10,27,4,111
27,15,4,99
15,71,4,84
71,96,4,84
96,120,4,97
120,38,4,89
38,14,4,39
14,13,4,104
13,65,4,57
32,50,5,163
50,110,5,101
110,18,5,93
18,22,5,127
22,98,5,101
98,42,5,953
42,30,5,60
30,8,5,83
8,92,5,99
92,118,5,81
118,41,5,101
41,58,5,89
58,34,5,128
34,132,5,116
132,104,5,111
104,113,5,105
113,17,5,60
17,105,5,112
105,31,5,67
31,75,5,69
75,136,5,66
136,135,5,82
135,57,5,90
57,36,5,99
36,37,5,86
37,130,5,84
26,97,6,174
97,55,6,120
55,109,6,120
109,83,6,60
83,64,6,60
64,68,6,60
68,119,6,120
119,101,6,120
26,97,7,174
97,55,7,120
55,94,7,120
94,99,7,60
99,39,7,60
39,6,7,60
44,74,8,150
74,61,8,120
61,45,8,105
45,54,8,236
54,111,8,126
111,5,8,105
5,2,8,60
2,33,8,60
33,108,8,60
108,79,8,60
23,121,9,60
121,43,9,60
43,48,9,60
48,117,9,60
117,20,9,60
20,16,9,60
16,85,9,60
85,105,9,60
